flight_id,flight_number,origin_airport_code,destination_code,origin_city,destination_city,departure_time,arrival_time,departure_delay,arrival_delay,distance,aircraft_type,passenger_count,ticket_price,fuel_cost,crew_cost,operational_cost,revenue,date,region
100000,AI102,DEL,DXB,Delhi,Dubai,19-01-2023 05:05,19-01-2023 10:46,19,5,9235,A320,142,256.25,6723.9401,2190.696077,29872.00389,36387.5,19-01-2023,Asia
100001,AI102,DEL,DXB,Delhi,Dubai,09-06-2023 04:58,09-06-2023 09:56,22,35,9228,B777,209,521.41,3763.524976,5535.594103,83733.26602,108974.69,09-06-2023,Asia
100002,AI101,DEL,LHR,Delhi,London,27-04-2023 06:14,27-04-2023 14:26,5,3,5814,A320,167,294.51,2741.966747,2580.298261,32686.84601,49183.17,27-04-2023,Asia
100003,LH501,FRA,DEL,Frankfurt,Delhi,12-07-2023 14:50,12-07-2023 16:34,41,21,6501,A320,197,475.36,6416.32505,6976.427986,83526.0483,93645.92,12-07-2023,Europe
100004,LH501,FRA,DEL,Frankfurt,Delhi,21-05-2023 00:29,21-05-2023 02:40,0,17,1607,A321,91,562.88,8931.869334,4280.75735,42612.69852,51222.08,21-05-2023,Europe
100005,SQ701,SIN,BLR,Singapore,Bangalore,23-09-2023 15:54,23-09-2023 19:40,0,0,1469,A350,174,348.69,7079.826306,5204.839262,48601.50852,60672.06,23-09-2023,Asia
100006,UA301,JFK,LAX,New York,Los Angeles,29-04-2023 23:39,30-04-2023 08:32,14,0,9425,A321,177,288.96,7476.914008,7057.111521,44886.54697,51145.92,29-04-2023,North America
100007,AI101,DEL,LHR,Delhi,London,16-06-2023 18:54,16-06-2023 20:26,0,0,9592,B787,160,380.82,4517.423046,5932.631992,37768.60534,60931.2,16-06-2023,Asia
100008,QF601,SYD,SIN,Sydney,Singapore,01-12-2023 03:01,01-12-2023 06:27,0,13,9130,B737,147,197.74,7976.110493,4570.602964,23937.22075,29067.78,01-12-2023,Australia
100009,QF601,SYD,SIN,Sydney,Singapore,21-09-2023 14:20,21-09-2023 19:04,0,0,1071,A320,115,456.67,,2959.89201,32942.51824,52517.05,21-09-2023,Australia
100010,QF601,,SIN,Sydney,Singapore,16-02-2023 06:13,16-02-2023 13:47,,3,4419,A350,177,,8886.237618,,67770.35957,91530.24,16-02-2023,Australia
100011,AI102,DEL,DXB,Delhi,Dubai,14-07-2023 07:06,14-07-2023 13:54,11,0,353,B787,108,305.45,9006.823523,3580.334305,21358.38087,32988.6,14-07-2023,Asia
100012,EK201,DXB,LHR,Dubai,London,19-03-2023 11:39,19-03-2023 17:44,0,9,6426,A321,243,455.36,6315.032241,6671.758872,72994.49001,110652.48,19-03-2023,Middle East
100013,AI101,DEL,LHR,Delhi,London,25-08-2023 01:02,25-08-2023 10:22,0,14,5338,A321,84,178.31,2463.401332,7268.057595,10617.84614,14978.04,25-08-2023,Asia
100014,AI102,DEL,DXB,Delhi,Dubai,04-03-2023 08:54,04-03-2023 18:11,0,2,2360,A321,97,784.59,7278.006582,7681.092078,57825.65567,76105.23,04-03-2023,Asia
100015,EK201,DXB,LHR,Dubai,London,13-07-2023 00:12,13-07-2023 10:12,0,41,9135,B787,235,396.2,7518.941057,6277.693837,61780.16865,93107,13-07-2023,Middle East
100016,QF601,SYD,SIN,Sydney,Singapore,29-09-2023 21:59,30-09-2023 06:27,9,0,1349,B737,212,416.04,2168.27408,5323.529135,59479.90624,88200.48,29-09-2023,Australia
100017,UA301,JFK,LAX,New York,Los Angeles,06-01-2023 05:40,06-01-2023 07:52,26,0,814,B737,241,141.21,2566.858799,3428.027806,21107.0885,34031.61,06-01-2023,North America
100018,SQ701,SIN,BLR,Singapore,Bangalore,06-06-2023 00:03,06-06-2023 03:18,14,0,8049,B777,226,503.35,3523.279315,2581.584885,76547.05848,113757.1,06-06-2023,Asia
100019,QF601,SYD,SIN,Sydney,Singapore,15-09-2023 23:47,16-09-2023 08:00,0,11,1912,A320,185,426.92,5220.970257,4035.815632,64662.88692,78980.2,15-09-2023,Australia
100020,AI102,DEL,DXB,Delhi,Dubai,01-07-2023 01:35,01-07-2023 05:51,24,11,3306,B737,128,475.4,5701.024547,,39069.7983,60851.2,01-07-2023,Asia
100021,AI102,DEL,DXB,Delhi,Dubai,19-11-2023 16:16,19-11-2023 18:56,7,2,541,A320,92,556.5,9410.935864,7092.174406,39021.90638,51198,19-11-2023,Asia
100022,EK201,DXB,LHR,Dubai,London,23-10-2023 22:36,24-10-2023 07:53,0,0,1260,A321,203,249.62,5031.784952,7911.853063,36500.27358,50672.86,23-10-2023,Middle East
100023,DL401,ATL,ORD,Atlanta,Chicago,28-11-2023 07:50,28-11-2023 13:42,0,27,9405,B787,188,587.61,7747.266202,2928.780952,90492.23375,110470.68,28-11-2023,North America
100024,DL401,ATL,ORD,Atlanta,Chicago,08-06-2023 12:35,08-06-2023 14:34,16,0,5438,A320,228,,2401.138698,4860.731103,86699.06059,140224.56,08-06-2023,North America
100025,EK201,DXB,LHR,Dubai,London,11-02-2023 10:02,11-02-2023 19:42,16,1,1413,B787,100,695.94,,4422.653308,43187.00209,69594,11-02-2023,Middle East
100026,UA301,JFK,LAX,New York,Los Angeles,29-01-2023 22:32,30-01-2023 00:55,0,19,5483,B737,187,560.16,3634.073595,6297.150805,80612.19452,104749.92,29-01-2023,North America
100027,UA301,JFK,LAX,New York,Los Angeles,13-07-2023 09:57,13-07-2023 17:42,30,24,5480,A320,113,570.18,2074.523655,5726.955533,44456.87816,64430.34,13-07-2023,North America
100028,AI102,DEL,DXB,Delhi,Dubai,23-02-2023 08:19,23-02-2023 12:57,0,2,1427,A321,209,285.64,4956.21671,2946.480994,52533.58429,59698.76,23-02-2023,Asia
100029,DL401,,ORD,Atlanta,Chicago,06-01-2023 16:43,06-01-2023 22:49,16,25,4633,A320,249,172.51,,6454.500104,37088.9745,42954.99,06-01-2023,North America
100030,EK201,DXB,LHR,Dubai,London,18-07-2023 07:37,18-07-2023 13:25,0,4,4625,A350,234,247.44,5908.254817,7432.018946,40696.50535,57900.96,18-07-2023,Middle East
100031,AI101,DEL,LHR,Delhi,London,09-03-2023 05:01,09-03-2023 13:14,0,0,2443,B787,150,130.86,9838.383631,2969.491858,13741.61439,19629,09-03-2023,Asia
100032,SQ701,SIN,BLR,Singapore,Bangalore,08-11-2023 10:22,08-11-2023 11:31,26,32,2742,A350,108,152.67,2288.225104,4215.295907,14261.30884,16488.36,08-11-2023,Asia
100033,EK201,DXB,LHR,Dubai,London,09-11-2023 23:04,10-11-2023 02:14,8,26,953,B737,90,315.78,3680.612307,3497.178435,24716.89011,28420.2,09-11-2023,Middle East
100034,AI102,DEL,DXB,Delhi,Dubai,15-09-2023 12:58,15-09-2023 20:54,17,0,4178,A321,238,624.63,9809.648263,6864.63032,130484.9178,148661.94,15-09-2023,Asia
100035,QF601,SYD,SIN,Sydney,Singapore,19-01-2023 01:10,19-01-2023 05:13,17,35,4365,B737,165,647.67,3273.582744,6207.669129,77318.7162,106865.55,19-01-2023,Australia
100036,QF601,SYD,,Sydney,Singapore,29-01-2023 04:45,29-01-2023 13:46,9,,6028,B737,136,239.7,8564.291048,7227.938215,28541.75917,32599.2,29-01-2023,Australia
100037,UA301,JFK,LAX,New York,Los Angeles,18-01-2023 05:33,18-01-2023 09:50,0,22,4873,B737,182,329.78,7131.853909,4398.070306,51575.5047,60019.96,18-01-2023,North America
100038,LH501,FRA,DEL,Frankfurt,Delhi,21-01-2023 02:21,21-01-2023 05:19,11,2,4649,A320,146,225,2867.220378,4607.382551,29195.77568,32850,21-01-2023,Europe
100039,LH501,FRA,DEL,Frankfurt,Delhi,14-11-2023 18:32,15-11-2023 04:15,11,0,4473,A320,109,369.64,7670.282271,2010.147669,31143.80714,40290.76,14-11-2023,Europe
100040,UA301,JFK,LAX,New York,Los Angeles,23-09-2023 05:13,23-09-2023 13:34,5,14,5443,B787,97,764.21,8784.122236,6318.525578,64953.59481,74128.37,23-09-2023,North America
100041,DL401,ATL,ORD,Atlanta,Chicago,14-08-2023 05:08,14-08-2023 13:06,39,0,2385,A321,163,381.68,5363.57067,7642.182024,42846.45764,62213.84,14-08-2023,North America
100042,EK201,,,Dubai,London,08-08-2023 03:28,08-08-2023 11:23,0,,3743,B777,220,683.61,8286.07062,5639.969423,103946.829,150394.2,08-08-2023,Middle East
100043,LH501,FRA,DEL,Frankfurt,Delhi,05-12-2023 14:15,05-12-2023 22:47,28,13,3080,B787,193,572.94,,5092.712059,83303.74252,110577.42,05-12-2023,Europe
100044,LH501,FRA,DEL,Frankfurt,Delhi,10-03-2023 00:03,10-03-2023 05:03,0,17,700,A320,159,257.25,3958.740353,4850.818065,26985.13856,40902.75,10-03-2023,Europe
100045,AI102,DEL,DXB,Delhi,Dubai,28-11-2023 14:58,28-11-2023 23:02,11,25,6591,B777,241,502.97,5197.222903,2885.428071,98851.91798,121215.77,28-11-2023,Asia
100046,AI101,DEL,LHR,Delhi,London,19-03-2023 14:44,19-03-2023 22:59,0,2,8786,B777,136,223.12,2401.747081,3495.189678,26927.24044,30344.32,19-03-2023,Asia
100047,AI102,DEL,DXB,Delhi,Dubai,29-11-2023 09:14,29-11-2023 12:30,2,0,5498,B777,198,,6901.218582,6315.643768,100684.8645,112325.4,29-11-2023,Asia
100048,QF601,SYD,SIN,Sydney,Singapore,21-11-2023 16:54,21-11-2023 20:36,15,12,4843,A350,201,415.05,5876.776137,3435.475183,68870.1348,83425.05,21-11-2023,Australia
100049,SQ701,SIN,BLR,Singapore,Bangalore,26-02-2023 10:07,26-02-2023 15:59,10,3,9149,A320,140,290.2,3106.992492,3387.568878,28273.5481,40628,26-02-2023,Asia
100050,EK201,DXB,LHR,Dubai,London,05-06-2023 19:05,05-06-2023 21:10,0,0,7112,A320,186,,3654.675116,4520.861107,54668.316,71669.52,05-06-2023,Middle East
100051,AI101,DEL,LHR,Delhi,London,04-10-2023 23:38,05-10-2023 08:46,3,0,6689,B777,81,759.92,6305.764541,6407.804365,42446.30996,61553.52,04-10-2023,Asia
100052,UA301,JFK,LAX,New York,Los Angeles,22-12-2023 12:25,22-12-2023 17:09,6,15,5807,B787,149,405.09,7433.13508,4425.900015,36740.61359,60358.41,22-12-2023,North America
100053,EK201,DXB,LHR,Dubai,London,07-12-2023 08:14,07-12-2023 11:24,47,11,9997,A350,239,473.89,7303.998055,2503.684773,98771.37599,113259.71,07-12-2023,Middle East
100054,QF601,SYD,SIN,Sydney,Singapore,09-04-2023 19:31,10-04-2023 04:23,15,6,3767,B777,126,135.2,4614.766439,6567.378247,12158.55304,17035.2,09-04-2023,Australia
100055,QF601,SYD,SIN,Sydney,Singapore,22-07-2023 14:53,22-07-2023 23:04,0,7,9137,A320,144,684.44,9999.262628,4099.762062,73041.55823,98559.36,22-07-2023,Australia
100056,AI102,DEL,DXB,Delhi,Dubai,30-01-2023 07:33,30-01-2023 09:04,11,52,2796,A321,143,239.55,3009.767799,6016.753068,20762.82922,34255.65,30-01-2023,Asia
100057,UA301,JFK,LAX,New York,Los Angeles,05-12-2023 15:03,05-12-2023 20:25,6,13,2176,A321,174,217.45,9717.766184,2648.592498,29594.57951,37836.3,05-12-2023,North America
100058,AI101,,LHR,Delhi,London,16-08-2023 03:50,16-08-2023 11:14,9,0,10000,B787,181,759.03,8644.57307,3457.096283,90604.88501,137384.43,16-08-2023,Asia
100059,DL401,ATL,ORD,Atlanta,Chicago,30-03-2023 03:35,30-03-2023 05:17,32,21,1429,A350,168,472.92,7180.346032,2075.912901,63437.80829,79450.56,30-03-2023,North America
100060,QF601,SYD,SIN,Sydney,Singapore,23-12-2023 22:53,24-12-2023 01:41,25,0,7832,B787,190,772.55,3223.929193,3056.821767,116058.9126,146784.5,23-12-2023,Australia
100061,DL401,ATL,ORD,Atlanta,Chicago,19-12-2023 01:43,19-12-2023 10:39,38,0,5580,A321,191,678.01,8645.848151,2519.977388,100717.569,129499.91,19-12-2023,North America
100062,SQ701,SIN,BLR,Singapore,Bangalore,27-06-2023 13:49,27-06-2023 22:44,21,47,770,B777,225,527.23,8807.62269,3091.039143,84663.53083,118626.75,27-06-2023,Asia
100063,UA301,JFK,LAX,New York,Los Angeles,16-09-2023 09:00,16-09-2023 14:24,0,0,4826,A350,167,295.76,2081.208916,7688.375467,38468.72414,49391.92,16-09-2023,North America
100064,AI102,DEL,DXB,Delhi,Dubai,25-06-2023 18:00,26-06-2023 01:56,11,0,8100,B787,205,488.62,7694.739252,4689.047298,67322.02552,100167.1,25-06-2023,Asia
100065,AI101,DEL,LHR,Delhi,London,09-03-2023 18:13,10-03-2023 00:14,0,9,9828,B737,136,383.08,5786.08391,5185.531587,35062.10596,52098.88,09-03-2023,Asia
100066,QF601,SYD,SIN,Sydney,Singapore,29-08-2023 20:59,30-08-2023 03:59,0,16,2276,B787,196,289.64,3540.674348,2717.328448,38343.27777,56769.44,29-08-2023,Australia
100067,EK201,DXB,LHR,Dubai,London,20-05-2023 11:25,20-05-2023 16:06,0,35,8895,A350,203,293.55,4263.989626,2603.156649,46294.55009,59590.65,20-05-2023,Middle East
100068,UA301,JFK,LAX,New York,Los Angeles,04-08-2023 17:16,04-08-2023 22:08,0,2,9051,A321,172,225.61,4194.490614,7845.769587,23447.65988,38804.92,04-08-2023,North America
100069,DL401,ATL,ORD,Atlanta,Chicago,02-04-2023 22:53,03-04-2023 08:15,26,0,7990,B777,,,5523.750385,,58190.89167,75355.4,02-04-2023,North America
100070,AI101,DEL,LHR,Delhi,London,03-07-2023 20:22,04-07-2023 05:31,14,31,1513,A350,109,675.48,7035.565656,2321.654446,53027.29652,73627.32,03-07-2023,Asia
