flight_id,airline,flight_number,origin_airport,destination_airport,origin_city,destination_city,departure_time,arrival_time,departure_delay,arrival_delay,distance,aircraft_type,passenger_count,ticket_price,fuel_cost,crew_cost,operational_cost,date,region
100000,Delta Air Lines,DE7012,SIN,LAX,Singapore,Los Angeles,7/20/2023 6:29,7/20/2023 11:39,19,5,3957,Airbus A350,115,904.85,15247.9,7353.08,26644.25,7/20/2023,Asia
100001,American Airlines,AM7459,JFK,LAX,New York,Los Angeles,6/19/2023 10:02,6/19/2023 19:39,22,35,10163,Airbus A321,86,708.59,39961.31,6207.95,54203.5,6/19/2023,North America
100002,Delta Air Lines,DE1619,BLR,LHR,Bangalore,London,8/9/2024 18:42,8/9/2024 22:25,5,3,11738,Boeing 787,188,461.08,32995.04,7743.28,47777.45,8/9/2024,Asia
100003,Emirates,EM1391,DXB,LAX,Dubai,Los Angeles,9/8/2023 11:03,9/8/2023 22:21,41,21,4633,Boeing 787,286,128.66,15839.53,2748.96,32656.03,9/8/2023,Middle East
100004,Emirates,EM1754,DEL,LHR,Delhi,London,5/21/2023 0:29,5/21/2023 13:30,0,17,1439,Boeing 777,91,820.61,5822.39,7911.33,26997.53,5/21/2023,Asia
100005,Qatar Airways,QA1269,DXB,LHR,Dubai,London,8/30/2024 9:08,8/30/2024 16:21,0,0,2964,Airbus A350,174,477.9,11382.8,6210.92,28796.29,8/30/2024,Middle East
100006,United Airlines,UN5413,BLR,SYD,Bangalore,Sydney,6/14/2024 22:24,6/15/2024 3:34,14,0,2977,Boeing 777,198,504.99,13334.12,5840,28857.52,6/14/2024,Asia
100007,Delta Air Lines,DE8279,JFK,LHR,New York,London,8/18/2023 16:56,8/19/2023 0:46,0,0,4686,Boeing 787,96,316.3,20551.95,7258.21,34586.29,8/18/2023,North America
100008,Qatar Airways,QA6643,DXB,SYD,Dubai,Sydney,7/12/2023 21:06,7/13/2023 0:28,0,13,4340,Airbus A321,270,708.73,13130.6,5507.52,32411.99,7/12/2023,Middle East
100009,United Airlines,UN1140,CDG,ATL,Paris,Atlanta,12/26/2023 8:48,12/26/2023 11:21,0,0,1071,Boeing 777,300,202.81,4021.49,6752.48,18839.89,12/26/2023,Europe
100010,Qatar Airways,QA5673,DXB,DOH,Dubai,Doha,7/3/2023 1:46,7/3/2023 12:12,39,3,488,Boeing 777,254,887.21,1885.35,5221.82,13309.07,7/3/2023,Middle East
100011,Lufthansa,LU8417,LAX,CDG,Los Angeles,Paris,11/27/2023 9:23,11/27/2023 10:26,11,0,4615,Airbus A321,208,933.4,16223.4,2638.46,29365.46,11/27/2023,North America
100012,United Airlines,UN1932,BLR,ATL,Bangalore,Atlanta,7/9/2024 5:50,7/9/2024 9:35,0,9,9137,Boeing 737,279,1113.13,39627.05,5593.67,54083.99,7/9/2024,Asia
100013,Southwest Airlines,SO2160,CDG,LHR,Paris,London,6/25/2023 9:32,6/25/2023 20:12,0,14,1590,Airbus A320,101,899.74,6569.95,7867.91,23830.33,6/25/2023,Europe
100014,Qatar Airways,QA3395,ORD,SYD,Chicago,Sydney,5/1/2023 5:48,5/1/2023 11:19,0,2,8945,Boeing 777,235,553.91,26151.57,5235.78,43146.52,5/1/2023,North America
100015,Lufthansa,LU9175,SYD,LHR,Sydney,London,4/18/2024 5:26,4/18/2024 12:48,0,41,7477,Airbus A350,212,585.66,22399.68,2384.16,28036.25,4/18/2024,Australia
100016,Southwest Airlines,SO3999,ATL,SIN,Atlanta,Singapore,2/21/2023 16:41,2/22/2023 5:45,9,0,10639,Airbus A320,95,336.41,45863.03,7157.81,56871.13,2/21/2023,North America
100017,Qatar Airways,QA1688,LHR,SYD,London,Sydney,1/28/2024 15:47,1/28/2024 19:02,26,0,9655,Airbus A321,227,609.39,39288.5,6844.98,51418.4,1/28/2024,Europe
100018,Emirates,EM1890,SIN,DXB,Singapore,Dubai,10/27/2023 8:31,10/27/2023 17:29,14,0,1187,Boeing 737 MAX,252,811.87,4501.53,2363.68,18603.77,10/27/2023,Asia
100019,Southwest Airlines,SO9116,ATL,LHR,Atlanta,London,11/23/2023 16:05,11/23/2023 19:28,0,11,7212,Boeing 777,126,391.97,21633.21,7539.59,37490.37,11/23/2023,North America
100020,Delta Air Lines,DE2797,LAX,JFK,Los Angeles,New York,11/5/2024 13:26,11/6/2024 3:17,24,11,4172,Airbus A320,122,535.18,14446.45,7187.9,35463.66,11/5/2024,North America
100021,Lufthansa,LU8073,DXB,JFK,Dubai,New York,11/5/2024 16:04,11/6/2024 6:26,7,2,7754,Boeing 737,153,553.77,34231.08,7972.54,51872.84,11/5/2024,Middle East
100022,IndiGo,IN8801,ORD,LHR,Chicago,London,2/12/2023 14:04,2/13/2023 0:57,0,0,9183,Airbus A321,95,917.73,24007.4,5505.07,38546.67,2/12/2023,North America
100023,American Airlines,AM4133,ORD,JFK,Chicago,New York,5/16/2023 7:31,5/16/2023 9:41,0,27,10049,Boeing 787,97,836.24,29849.63,2719.32,46252.4,5/16/2023,North America
100024,Delta Air Lines,DE5247,BLR,SIN,Bangalore,Singapore,3/1/2023 16:45,3/2/2023 0:54,16,0,11070,Boeing 777,229,713.05,34679.43,3564.59,49280.73,3/1/2023,Asia
100025,Lufthansa,LU9324,ATL,CDG,Atlanta,Paris,5/4/2024 2:38,5/4/2024 14:38,16,1,5215,Airbus A321,197,434.12,20879.45,2435.26,31814.14,5/4/2024,North America
100026,Southwest Airlines,SO5056,LAX,ORD,Los Angeles,Chicago,7/13/2023 2:42,7/13/2023 5:57,0,19,6018,Boeing 777,97,1064.78,19492.63,2946.48,35444.05,7/13/2023,North America
100027,Delta Air Lines,DE9164,BLR,SYD,Bangalore,Sydney,8/17/2024 23:55,8/18/2024 10:22,30,24,5205,Airbus A350,249,196.02,22153.8,3586.8,39417.15,8/17/2024,Asia
100028,IndiGo,IN932,ORD,CDG,Chicago,Paris,6/3/2023 9:01,6/3/2023 22:15,0,2,5917,Boeing 777,132,850,24885.87,5032.45,35931.78,6/3/2023,North America
100029,Lufthansa,LU9138,LAX,SYD,Los Angeles,Sydney,7/21/2023 11:20,7/21/2023 13:05,16,25,358,Boeing 787,165,943.65,1351.17,3571.73,16817.67,7/21/2023,North America
100030,Delta Air Lines,DE785,SYD,DXB,Sydney,Dubai,2/24/2023 18:58,2/25/2023 7:45,0,4,2742,Airbus A320,219,120.35,8879.78,5315.15,22352.37,2/24/2023,Australia
100031,Delta Air Lines,DE2632,LHR,DXB,London,Dubai,6/2/2023 23:21,6/3/2023 11:59,0,0,4388,Boeing 737,250,195.13,17816.3,7304.81,32997.64,6/2/2023,Europe
100032,United Airlines,UN4471,ATL,ORD,Atlanta,Chicago,1/19/2023 1:10,1/19/2023 5:13,26,32,5742,Boeing 737 MAX,280,1122.51,23567.87,7184.38,43481.24,1/19/2023,North America
100033,Lufthansa,LU3828,ORD,LAX,Chicago,Los Angeles,1/29/2023 4:45,1/29/2023 13:46,8,26,3944,Boeing 787,131,994.58,13490.87,3831.15,29866.17,1/29/2023,North America
100034,Southwest Airlines,SO8885,ATL,JFK,Atlanta,New York,8/28/2023 0:47,8/28/2023 6:32,17,0,1437,Boeing 737 MAX,277,392.62,5436.12,4398.07,24607.99,8/28/2023,North America
100035,American Airlines,AM8479,CDG,JFK,Paris,New York,5/11/2023 0:41,5/11/2023 11:35,17,35,4649,Boeing 737,89,201.41,15663.07,6371.27,28798.47,5/11/2023,Europe
100036,Southwest Airlines,SO3328,LAX,DOH,Los Angeles,Doha,2/2/2023 7:42,2/2/2023 20:47,9,36,7444,Boeing 737,80,662.31,30617.33,6121.14,51021.63,2/2/2023,North America
100037,American Airlines,AM6791,CDG,DOH,Paris,Doha,11/1/2024 11:38,11/1/2024 18:16,0,22,10509,Airbus A350,160,822.99,28891.87,7400.28,45377.62,11/1/2024,Europe
100038,IndiGo,IN5030,CDG,DOH,Paris,Doha,4/3/2023 16:30,4/3/2023 20:46,11,2,7188,Boeing 777,250,1133.21,27707.12,7416.83,45510.13,4/3/2023,Europe
100039,Delta Air Lines,DE3601,DXB,BLR,Dubai,Bangalore,7/28/2023 22:10,7/29/2023 2:45,11,0,7343,Boeing 737,281,729.58,27972.51,4789.93,41068.36,7/28/2023,Middle East
100040,United Airlines,UN5185,DEL,DOH,Delhi,Doha,3/3/2023 17:54,3/3/2023 23:44,5,14,8745,Airbus A350,249,788.89,27724.94,6910.54,46649.14,3/3/2023,Asia
100041,United Airlines,UN3285,ATL,LHR,Atlanta,London,2/3/2023 15:38,2/3/2023 20:48,39,0,8084,Airbus A320,236,1031.71,21387.49,4486.65,36431.32,2/3/2023,North America
100042,Qatar Airways,QA7065,SYD,DXB,Sydney,Dubai,6/27/2023 15:56,6/27/2023 19:27,0,0,11048,Boeing 737 MAX,256,86.21,44213.31,6620.28,55112.64,6/27/2023,Australia
100043,Qatar Airways,QA5298,ATL,ORD,Atlanta,Chicago,2/10/2024 21:22,2/11/2024 2:37,28,13,2288,Airbus A320,196,229.34,7846.21,5186.79,22740.1,2/10/2024,North America
100044,Lufthansa,LU4643,DOH,SIN,Doha,Singapore,10/22/2024 8:26,10/22/2024 18:47,0,17,7605,Boeing 787,120,912.89,26232.3,3555.15,35754.33,10/22/2024,Middle East
100045,Southwest Airlines,SO2571,DEL,DOH,Delhi,Doha,11/17/2023 7:19,11/17/2023 9:38,11,25,11990,Boeing 737,153,342.63,38028.62,7358.16,49353.71,11/17/2023,Asia
100046,United Airlines,UN6481,ATL,DOH,Atlanta,Doha,6/5/2023 19:05,6/5/2023 21:10,0,2,7097,Airbus A350,184,450.59,24355.83,2373.59,39724.11,6/5/2023,North America
100047,Lufthansa,LU9047,BLR,JFK,Bangalore,New York,1/5/2023 7:02,1/5/2023 14:02,2,0,5192,Boeing 737 MAX,272,516.79,22238.81,7014.37,38711.83,1/5/2023,Asia
100048,Qatar Airways,QA7757,BLR,ATL,Bangalore,Atlanta,7/18/2023 17:53,7/19/2023 2:19,15,12,8256,Airbus A321,87,515.52,31684.44,6788.85,50163.47,7/18/2023,Asia
100049,Delta Air Lines,DE4362,ORD,SIN,Chicago,Singapore,3/7/2024 0:04,3/7/2024 10:41,10,3,11162,Boeing 737 MAX,86,174.02,37473.35,7201.11,49855.21,3/7/2024,North America
100050,Southwest Airlines,SO417,DXB,CDG,Dubai,Paris,8/27/2023 0:02,8/27/2023 6:47,0,0,6511,Boeing 737 MAX,151,922.25,27110.82,3513.63,34607.32,8/27/2023,Middle East
100051,Delta Air Lines,DE433,SYD,DEL,Sydney,Delhi,6/13/2023 6:33,6/13/2023 18:38,3,0,1424,Boeing 737,279,1152.16,3674.66,2186.18,11828.24,6/13/2023,Australia
100052,Southwest Airlines,SO1976,BLR,ORD,Bangalore,Chicago,12/11/2023 20:04,12/12/2023 8:29,6,15,2174,Airbus A321,224,1141.49,7456.97,3537.46,18421.17,12/11/2023,Asia
100053,American Airlines,AM9800,ORD,CDG,Chicago,Paris,1/19/2023 16:45,1/19/2023 23:04,47,11,9733,Boeing 777,253,1096.99,31638.23,7648.82,44667.01,1/19/2023,North America
100054,Southwest Airlines,SO772,SYD,SIN,Sydney,Singapore,5/22/2024 16:19,5/23/2024 6:30,15,6,5241,Airbus A320,297,846.37,21546.04,6777.36,38114.59,5/22/2024,Australia
100055,Lufthansa,LU6034,CDG,BLR,Paris,Bangalore,9/27/2023 20:11,9/27/2023 22:21,0,7,8589,Airbus A350,245,462.18,36066.51,6933.99,47266.97,9/27/2023,Europe
100056,United Airlines,UN7236,SIN,DOH,Singapore,Doha,5/9/2023 6:12,5/9/2023 19:43,11,52,8848,Boeing 737 MAX,246,382.49,36421.89,5229.04,50452.9,5/9/2023,Asia
100057,IndiGo,IN6309,SYD,BLR,Sydney,Bangalore,9/12/2024 4:45,9/12/2024 9:56,6,13,1719,Boeing 737,151,1067.43,5135.9,4788.25,20248.13,9/12/2024,Australia
100058,Qatar Airways,QA4626,CDG,JFK,Paris,New York,8/25/2023 16:02,8/25/2023 20:08,9,0,8288,Boeing 787,134,477.4,25002.45,3677.95,38834.26,8/25/2023,Europe
100059,Southwest Airlines,SO7442,DEL,JFK,Delhi,New York,6/25/2023 18:00,6/26/2023 7:17,32,21,6958,Airbus A320,205,701.8,20739.35,4856.56,37138.02,6/25/2023,Asia
